CdStationMesureEauxSurface;LbStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;NomEntiteHydrographique;TypeCEStationMesureEauxSurface
02094956;LA NOIRE BASSE À NIEDERHOF;995313.0;6842120.99;;
02094957;LA NOIRE BASSE À LAFRIMBOLE;995480.0;6842340.99;;
02094958;LA BASSE DE GUEISSEMOTTE À NIEDERHOF;995227.0;6842492.99;;
02094962;LE RUISSEAU DU PRE LEMOINE À HATTIGNY (AVAL RETENUE);992602.0;6843267.99;Ruisseau du Pre Lemoine;
02094963;LE RUISSEAU DU PRE LEMOINE À HATTIGNY (LES LANDRES);992738.0;6843543.99;Ruisseau du Pre Lemoine;
02094965;LE RUISSEAU DES HARCHOLINS À HATTIGNY;994154.0;6843593.99;;
02094966;LE RUISSEAU DU PRE LEMOINE À FRAQUELFING;994405.0;6844565.99;Ruisseau du Pre Lemoine;
02094967;LE DUNKELBACH À ABRESCHVILLER;1007508.0;6841182.99;Ruisseau le Dunkelbach;
02094968;LE RUISSEAU D'ABRESCHVILLER À ABRESCHVILLER (COLBECK);1007430.0;6839929.99;Ruisseau d'Abreschviller;
02094970;LA SARRE BLANCHE À TURQUESTEIN-BLANCRUPT;1004465.0;6835477.99;La Sarre;
02094973;LA SARRE BLANCHE À TURQUESTEIN-BLANCRUPT (AMONT STORINDAL);999255.05;6839350.01;La Sarre;
02094975;LA SARRE BLANCHE À SAINT-QUIRIN;997193.0;6841875.99;La Sarre;
02094976;LA SARRE ROUGE À SAINT-QUIRIN (LA MARCAIRERIE);1006703.0;6837207.99;La Sarre Rouge;
02094977;LA SARRE ROUGE À SAINT-QUIRIN (SOUS BELLE-ROCHE);1003819.0;6841290.99;La Sarre Rouge;
02094978;LA SARRE ROUGE À SAINT-QUIRIN (LES DEUX RIVIERES);1004091.0;6841843.99;La Sarre Rouge;
02094979;LE RUISSEAU D'ABRESCHVILLER À ABRESCHVILLER;1004284.0;6841925.99;Ruisseau d'Abreschviller;
02094980;LA SARRE ROUGE À ABRESCHVILLER;1004227.0;6843174.99;La Sarre Rouge;
02094982;LE RUISSEAU DE GRAND SOLDAT À ABRESCHVILLER;1005739.0;6842897.99;Ruisseau de Grand Soldat;
02094985;LE RUISSEAU DE SAINT-QUIRIN À SAINT-QUIRIN;1002096.0;6840513.99;Ruisseau de St-Quirin;
02094987;LE RUISSEAU DE SAINT-QUIRIN À SAINT-QUIRIN (BASSE CURLOT);1000282.0;6840895.99;Ruisseau de St-Quirin;
02094988;LE RUISSEAU DE L'ENGENTHAL À SAINT-QUIRIN;1000509.0;6842639.99;Ruisseau de l'Engenthal;
02094990;LA SARRE ROUGE À NITTING;999313.0;6845464.99;La Sarre Rouge;
02094995;LA SARRE ROUGE À NITTING (BARVILLE BAS);997649.0;6847286.99;La Sarre Rouge;
02094996;LA SARRE ROUGE À NITTING (MALGRÉ COLLÉ);997457.0;6847577.99;La Sarre Rouge;
02095000;LA SARRE À HERMELANGE;995415.0;6849738.99;La Sarre;
02095050;LA SARRE À HESSE;996082.0;6851296.99;La Sarre;
02095200;LE RUISSEAU DE GONDREXANGE À GONDREXANGE;989522.0;6849858.99;Ruisseau de Gondrexange;
02095235;LE RUISSEAU D'ASPACH À LANDANGE;991016.0;6848133.99;Ruisseau d'Aspach;
02095245;LE RUISSEAU DE GONDREXANGE À XOUAXANGE;993860.0;6851872.99;Ruisseau de Gondrexange;
02095250;LE RUISSEAU DE GONDREXANGE À IMLING;995380.0;6852493.99;Ruisseau de Gondrexange;
02095300;LA BIEVRE À WALSCHEID (LANGMATTE);1006505.0;6845164.99;La Bievre;
02095310;LA BIEVRE À WALSCHEID (SITIFORT);1004519.0;6849490.99;La Bievre;
02095320;LA BIEVRE À TROISFONTAINES;1002890.0;6848979.99;La Bievre;
02095325;LA BIEVRE À TROISFONTAINES (MELKERHOF);1001981.0;6849028.99;La Bievre;
02095400;LA BIEVRE À HESSE;999783.0;6850755.99;La Bievre;
02095450;LA BIEVRE À SARREBOURG (ZONE INDUSTRIELLE);1000010.0;6856625.99;La Bievre;
02095499;LE RUISSEAU D'EICHMATT À SARREBOURG;999233.0;6858536.99;La Bievre;
02095500;LA BIEVRE À SARREBOURG;999115.0;6858541.99;La Bievre;
02095600;LA SARRE À SARRALTROFF;998209.0;6860119.99;La Sarre;
02095610;LA SARRE À SARRALTROFF (AVAL);997879.0;6859927.99;La Sarre;
02095890;LE LANDBACH À LANGATTE;991002.0;6857675.99;Ruisseau le Landbach;
02095900;LE LANDBACH À HAUT-CLOCHER;993940.0;6858211.99;Ruisseau le Landbach;
02096000;LA SARRE À GOSSELMING;993978.0;6862142.99;La Sarre;
02096010;LE RUISSEAU DE L'ÉTANG DES OISEAUX À GOSSELMING;993266.0;6862184.99;Ruisseau de l'Etang des Oiseaux;
02096015;LE RUISSEAU DE L'ÉTANG DES OISEAUX À GOSSELMING (AVAL);993969.0;6862914.99;Ruisseau de l'Etang des Oiseaux;
02096100;LE RUISSEAU DE PFUHLMATTEN À SAINT-JEAN-DE-BASSEL;991942.0;6863845.99;Ruisseau de Pfuhlmatte;
02096150;LE GELOECHGRABEN À KESKASTEL;995743.0;6883871.99;Ruisseau le Geloechgraben;
02096250;LE WILLERLACHGRABEN À HERBITZHEIM;996130.0;6887082.99;Ruisseau le Willerlachgraben;
02096400;L'ISCH À HIRSCHLAND;1001920.0;6867471.99;L'Isch;
02096480;LE BRUCHBACH À KIRRBERG;998980.0;6867368.99;L'Isch;
02096500;L'ISCH À WOLFSKIRCHEN;998720.0;6871325.99;L'Isch;
02096510;L'OTTERBACH À FENETRANGE;992354.0;6868629.99;Ruisseau l'Otterbach;
02096520;L'OTTERBACH À DIEDENDORF;997160.0;6871760.99;Ruisseau l'Otterbach;
02096575;LE BURBACH À BURBACH;1000440.0;6873972.99;Ruisseau Burbach;
02096600;LA SARRE À BISCHTROFF-SUR-SARRE;998069.0;6874427.99;La Sarre;
02096645;LE NAUBACH À BELLES-FORETS;987826.0;6863778.99;Ruisseau le Naubach;
02096650;RUISSEAU DE BAMBACH WALD À BELLES-FORÊTS;988549.0;6863816.99;;
02096745;LE NAUBACH À HARSKIRCHEN;993963.0;6875205.99;Ruisseau le Naubach;
02096750;LE CANAL DES HOUILLERES DE LA SARRE À ALTWILLER;993887.0;6875413.99;Canal des Houilleres de la Sarre;
02096900;LA SARRE À KESKASTEL;995578.0;6881981.99;La Sarre;
02096903;LA SARRE À SARRALBE (CAPTAGE);995029.38;6883408.59;La Sarre;
02096910;LE RUISSEAU DES ÉTANGS BENESTROFF À RODALBE;973449.0;6874109.99;Ruisseau des Etangs Benestroff;
02096925;L'ALBE À FRANCALTROFF;977763.0;6878451.99;L'Albe;
02096945;LE MATZENGRABEN À GRENING;981124.0;6882502.99;Ruisseau le Matzengraben;
02096950;L'ALBE À INSMING;983811.0;6880790.99;L'Albe;
02096958;LE BUSCHBACH À HILSPRICH;983657.0;6884675.99;Ruisseau le Buschbach;
02096962;L'ALBE À KAPPELKINGER;985917.0;6881971.99;L'Albe;
02096966;LE RUISSEAU DE CAPPEL À CAPPEL (AMONT LAGUNE);982491.0;6893027.99;;
02096967;LE RUISSEAU DE CAPPEL À CAPPEL (AVAL LAGUNE);982973.0;6892880.99;;
02096968;LE RUISSEAU DE CAPPEL À LOUPERSHOUSE;984212.0;6892770.99;;
02096975;LA MODERBACH À HOLVING;989919.0;6886946.99;Ruisseau le Moderbach;
02096980;LE RUISSEAU DES ROSES À GUINZELING;981127.0;6872120.99;Ruisseau des Roses;
02096985;LE RUISSEAU DES ROSES À ALBESTROFF;984172.0;6876380.99;Ruisseau des Roses;
02096990;LA RODE À SARRALBE;992910.0;6882563.99;Ruisseau la Rode;
02097000;L'ALBE À SARRALBE;993481.0;6883307.99;L'Albe;
02097500;LA SARRE À WILLERWALD;996079.0;6886512.99;La Sarre;
02097980;LE HOPPBACH À WILLERWALD;995980.0;6888696.99;Ruisseau le Hoppbach;
02098000;LA SARRE À HERBITZHEIM;998361.0;6887324.99;La Sarre;
02098080;L'EICHEL À FROHMUHL (AMONT);1013622.0;6875995.99;Ruisseau l'Eichel;
02098090;LE SPIEGELBACH À VOLKSBERG;1014755.0;6878233.99;;
02098097;LE RUISSEAU DE FROHMUHL À FROHMUL;1014264.0;6877008.99;Ruisseau l'Eichel;
02098100;L'EICHEL À FROHMUHL;1013341.0;6876057.99;Ruisseau l'Eichel;
02098130;L'EICHEL À TIEFFENBACH (VILLAGE);1011743.0;6875811.99;Ruisseau l'Eichel;
02098160;LE RUISSEAU DIT OTTWILLERGRABEN À TIEFFENBACH;1011264.0;6875340.99;Ruisseau Dit Ottwillergraben;
02098170;L'EICHEL À TIEFFENBACH (AVAL);1010044.0;6875850.99;Ruisseau l'Eichel;
02098200;L'EICHEL À WALDHAMBACH;1008109.0;6876361.99;Ruisseau l'Eichel;
02098230;LE KLABACH À SAINT-LOUIS-LES-BITCHE;1018793.0;6884869.99;Le Klabach;
